,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
38,2023-02-08,23368,22731,23263,22939,25371367758,22939,positive,0.8625,POSITIVE
39,2023-02-09,22996,21774,22947,21819,32572572185,21819,negative,0.5106,POSITIVE
40,2023-02-10,21941,21539,21819,21651,27078406594,21651,negative,0.7506,POSITIVE
41,2023-02-11,21891,21618,21652,21871,16356226232,21871,negative,0.453,POSITIVE
42,2023-02-12,22061,21683,21871,21788,17821046406,21788,positive,0.3182,POSITIVE
43,2023-02-13,21898,21460,21787,21808,23918742607,21808,negative,0.8398,POSITIVE
44,2023-02-14,22293,21632,21802,22221,26792596581,22221,positive,0.0,NEUTRAL
45,2023-02-15,24308,22083,22221,24308,32483312909,24308,positive,0.9127,POSITIVE
46,2023-02-16,25134,23603,24307,23623,39316664596,23623,positive,0.5116,POSITIVE
47,2023-02-17,24924,23461,23621,24566,41358451255,24566,negative,0.7845,POSITIVE
48,2023-02-18,24799,24468,24565,24641,19625427158,24641,negative,0.4329,POSITIVE
49,2023-02-19,25093,24328,24640,24328,25555105670,24328,positive,0.5423,POSITIVE
50,2023-02-20,25020,23928,24337,24829,28987376573,24829,negative,0.4215,POSITIVE
51,2023-02-21,25127,24200,24833,24436,31252098714,24436,positive,0.6705,POSITIVE
52,2023-02-22,24472,23644,24437,24189,30199996781,24189,negative,0.8126,POSITIVE
53,2023-02-23,24572,23694,24191,23947,30476264066,23947,positive,0.8793,POSITIVE
54,2023-02-24,24104,23007,23946,23198,26811744928,23198,negative,0.8442,POSITIVE
55,2023-02-25,23210,22862,23200,23175,16100721565,23175,negative,0.836,POSITIVE
56,2023-02-26,23654,23084,23174,23561,16644534842,23561,positive,0.3612,POSITIVE
57,2023-02-27,23858,23206,23561,23523,22660763494,23523,positive,0.4891,POSITIVE
58,2023-02-28,23585,23078,23522,23147,20535363434,23147,negative,0.5719,POSITIVE
59,2023-03-01,23881,23089,23151,23647,24662841200,23647,positive,0.802,POSITIVE
60,2023-03-02,23739,23245,23647,23475,20386398516,23475,negative,0.6908,POSITIVE
61,2023-03-03,23479,22213,23477,22363,26062404610,22363,negative,0.6632,POSITIVE
