,date,close,high,low,open,volume,adjclose,changes,compound,sentiment_type
67,3/9/2023,1544,1423,1534,1439,9457897583,1439,negative,0.7698,POSITIVE
68,3/10/2023,1439,1379,1439,1429,12665194936,1429,negative,0.9108,POSITIVE
69,3/11/2023,1484,1429,1429,1483,14917080154,1483,positive,0.8578,POSITIVE
70,3/12/2023,1607,1462,1482,1590,11480965122,1590,positive,0.7698,POSITIVE
71,3/13/2023,1700,1572,1591,1680,15711468959,1680,positive,0.9449,POSITIVE
72,3/14/2023,1780,1666,1680,1704,16159781303,1704,positive,0.8316,POSITIVE
73,3/15/2023,1721,1617,1705,1656,12715339905,1656,negative,0.8807,POSITIVE
74,3/16/2023,1693,1639,1656,1677,9364980166,1677,negative,0.7698,POSITIVE
75,3/17/2023,1799,1667,1677,1792,12467445117,1792,positive,0.7698,POSITIVE
76,3/18/2023,1840,1751,1794,1762,10317822213,1762,positive,0.7698,POSITIVE
77,3/19/2023,1844,1763,1763,1786,9170565472,1786,positive,0.7698,POSITIVE
78,3/20/2023,1808,1728,1785,1735,10978325507,1735,negative,0.7698,POSITIVE
79,3/21/2023,1836,1725,1736,1807,10758627746,1807,positive,0.7698,POSITIVE
80,3/22/2023,1821,1718,1805,1738,12484103560,1738,negative,0.8074,POSITIVE
81,3/23/2023,1854,1733,1737,1816,11012966854,1816,positive,0.7698,POSITIVE
82,3/24/2023,1820,1730,1816,1752,10913669383,1752,negative,0.7698,POSITIVE
83,3/25/2023,1763,1717,1751,1744,6614309912,1744,negative,0.7698,POSITIVE
84,3/26/2023,1798,1741,1744,1776,6990313307,1776,positive,0.8316,POSITIVE
85,3/27/2023,1781,1691,1775,1715,8585750760,1715,negative,0.7698,POSITIVE
86,3/28/2023,1791,1703,1715,1773,8346890042,1773,positive,0.4404,POSITIVE
87,3/29/2023,1826,1773,1773,1793,9136176952,1793,positive,0.5413,POSITIVE
88,3/30/2023,1827,1766,1793,1793,9724496987,1793,positive,0.4588,POSITIVE
89,3/31/2023,1845,1783,1794,1822,9149379763,1822,positive,0.8636,POSITIVE
90,4/1/2023,1840,1811,1822,1814,5556443606,1814,negative,0.9022,POSITIVE
91,4/2/2023,1824,1775,1821,1796,6199721188,1796,negative,0.4404,POSITIVE
92,4/3/2023,1839,1766,1795,1810,9643826401,1810,positive,0.8176,POSITIVE
93,4/4/2023,1887,1803,1810,1871,10398322335,1871,positive,0.8885,POSITIVE
94,4/5/2023,1937,1866,1871,1909,10319231689,1909,positive,0.5994,POSITIVE
95,4/6/2023,1909,1857,1909,1873,8263191830,1873,negative,0.7717,POSITIVE
96,4/7/2023,1882,1846,1873,1866,8356130492,1866,negative,0,NEUTRAL
97,4/8/2023,1879,1849,1865,1849,5016362733,1849,negative,0.7964,POSITIVE
98,4/9/2023,1873,1829,1850,1859,6361497715,1859,negative,0.4019,POSITIVE
99,4/10/2023,1917,1848,1860,1911,8380134275,1911,positive,0.7753,POSITIVE
100,4/11/2023,1937,1887,1911,1892,8877222956,1892,positive,0.6124,POSITIVE
101,4/12/2023,1930,1860,1892,1921,11010714187,1921,negative,0.8555,POSITIVE
102,4/13/2023,2022,1902,1918,2013,12546950499,2013,positive,0.7964,POSITIVE
103,4/14/2023,2126,2012,2014,2102,16298099411,2102,positive,0.8481,POSITIVE
104,4/15/2023,2111,2077,2102,2092,8036468153,2092,negative,0.8225,POSITIVE
105,4/16/2023,2137,2077,2092,2120,7898126856,2120,positive,0.4939,POSITIVE
106,4/17/2023,2120,2063,2120,2076,9648882546,2076,negative,0.8801,POSITIVE
107,4/18/2023,2122,2058,2076,2105,9134015143,2105,positive,0.8583,POSITIVE
108,4/19/2023,2105,1929,2104,1936,13779745451,1936,negative,0.5994,POSITIVE
109,4/20/2023,1980,1918,1936,1943,11324135406,1943,negative,0.6597,POSITIVE
110,4/21/2023,1956,1828,1943,1850,12044274581,1850,negative,0.6808,POSITIVE
111,4/22/2023,1887,1846,1849,1874,6970642726,1874,negative,0.8836,POSITIVE
112,4/23/2023,1882,1839,1874,1862,6607451862,1862,negative,0.5413,POSITIVE
113,4/24/2023,1888,1812,1862,1843,8438191338,1843,positive,0.7346,POSITIVE
114,4/25/2023,1877,1805,1842,1867,8677255481,1867,negative,0.8268,POSITIVE
115,4/26/2023,1963,1792,1866,1867,14356524696,1867,positive,0.7835,POSITIVE
116,4/27/2023,1937,1863,1867,1909,14008145806,1909,negative,0.4215,POSITIVE
117,4/28/2023,1923,1876,1909,1893,7691759733,1893,negative,0.7177,POSITIVE
118,4/29/2023,1917,1888,1893,1909,4796651246,1909,negative,0.6808,POSITIVE
119,4/30/2023,1938,1877,1909,1877,6539641957,1877,positive,0,NEUTRAL
120,5/1/2023,1886,1809,1869,1832,8625783201,1832,negative,0.4404,POSITIVE
