,close,high,low,open,volume,adjclose,date,changes,compound,sentiment_type
49,318,311,317,312,522437732,312,2023-02-19,negative,0.6361,POSITIVE
50,319,309,312,315,676396150,315,2023-02-20,positive,0.8115,POSITIVE
51,317,310,315,311,579359973,311,2023-02-21,negative,0.8481,POSITIVE
52,313,304,311,313,549179249,313,2023-02-22,negative,0.3818,POSITIVE
53,315,306,313,309,472852406,309,2023-02-23,positive,0.2023,POSITIVE
54,312,300,308,302,479926281,302,2023-02-24,negative,-0.3182,NEGATIVE
55,303,297,302,302,310503640,302,2023-02-25,negative,0.0258,POSITIVE
56,310,301,302,309,312320211,309,2023-02-26,positive,0.0,NEUTRAL
57,309,301,309,305,404806423,305,2023-02-27,negative,0.4215,POSITIVE
58,306,301,305,301,337673265,301,2023-02-28,negative,0.5423,POSITIVE
59,306,301,302,303,377974810,303,2023-03-01,neutral,0.7351,POSITIVE
60,304,297,303,300,370516889,300,2023-03-02,negative,0.8879,POSITIVE
61,300,288,300,290,450262903,290,2023-03-03,negative,0.4939,POSITIVE
62,291,287,290,290,289197235,290,2023-03-04,negative,0.0,NEUTRAL
63,292,288,290,289,287599378,289,2023-03-05,positive,0.0,NEUTRAL
64,290,284,289,288,374160712,288,2023-03-06,negative,0.4019,POSITIVE
65,290,284,288,289,373176525,289,2023-03-07,neutral,0.4939,POSITIVE
66,294,286,289,287,436665040,287,2023-03-08,positive,0.4391,POSITIVE
67,291,273,287,277,505668979,277,2023-03-09,negative,0.6319,POSITIVE
68,278,266,277,277,558776711,277,2023-03-10,negative,0.4754,POSITIVE
69,282,272,277,278,523623578,278,2023-03-11,positive,0.6908,POSITIVE
70,290,277,278,290,483074620,290,2023-03-12,positive,0.0,NEUTRAL
71,314,288,290,309,1122664621,309,2023-03-13,positive,0.9449,POSITIVE
72,320,304,309,309,866173920,309,2023-03-14,positive,0.7269,POSITIVE
73,314,302,309,307,596861029,307,2023-03-15,negative,0.7501,POSITIVE
74,333,304,307,330,1337194824,330,2023-03-16,positive,0.8777,POSITIVE
75,340,327,330,339,934568148,339,2023-03-17,positive,0.5423,POSITIVE
76,346,331,339,332,828471428,332,2023-03-18,positive,0.0,NEUTRAL
77,342,332,332,337,705888292,337,2023-03-19,negative,0.0,NEUTRAL
78,340,333,337,333,682276624,333,2023-03-20,negative,0.4019,POSITIVE
79,340,329,333,335,638610697,335,2023-03-21,neutral,0.902,POSITIVE
80,340,318,335,322,1280612242,322,2023-03-22,neutral,0.743,POSITIVE
81,332,320,322,330,547390925,330,2023-03-23,negative,0.0772,POSITIVE
82,330,318,330,322,468651735,322,2023-03-24,negative,0.5255,POSITIVE
83,325,320,322,323,439062620,323,2023-03-25,negative,0.0,NEUTRAL
84,330,322,323,329,363216136,329,2023-03-26,positive,0.8316,POSITIVE
85,329,306,329,311,656817420,311,2023-03-27,negative,0.7845,POSITIVE
86,315,307,311,313,478328374,313,2023-03-28,negative,0.5994,POSITIVE
87,320,313,313,314,482942200,314,2023-03-29,positive,0.1779,POSITIVE
88,318,311,314,317,594180917,317,2023-03-30,negative,0.7964,POSITIVE
89,320,314,317,317,419430009,317,2023-03-31,positive,0.69,POSITIVE
90,318,314,317,315,463135728,315,2023-04-01,negative,0.291,POSITIVE
91,316,312,315,314,442429679,314,2023-04-02,negative,0.128,POSITIVE
92,314,301,314,309,701865645,309,2023-04-03,negative,0.5994,POSITIVE
93,312,308,309,311,575672802,311,2023-04-04,negative,0.4939,POSITIVE
94,316,311,311,314,592856922,314,2023-04-05,positive,0.0,NEUTRAL
95,315,311,314,312,530706217,312,2023-04-06,negative,0.7717,POSITIVE
96,313,310,312,311,478098163,311,2023-04-07,negative,,
97,313,310,311,311,461767801,311,2023-04-08,neutral,0.7964,POSITIVE
98,314,310,311,313,465627007,313,2023-04-09,positive,,
99,318,312,313,318,565754261,318,2023-04-10,positive,-0.6238,NEGATIVE
100,333,318,318,323,896643000,323,2023-04-11,positive,0.4588,POSITIVE
101,323,317,323,319,639928192,319,2023-04-12,negative,0.4329,POSITIVE
102,325,318,320,325,684442464,325,2023-04-13,positive,0.8932,POSITIVE
103,336,324,325,329,941862415,329,2023-04-14,positive,0.7579,POSITIVE
104,336,328,329,333,730957108,333,2023-04-15,neutral,0.8126,POSITIVE
105,350,331,333,348,936315454,348,2023-04-16,positive,0.6486,POSITIVE
106,350,338,348,340,856381072,340,2023-04-17,neutral,0.5849,POSITIVE
107,346,338,340,343,741280408,343,2023-04-18,negative,0.7346,POSITIVE
108,344,321,343,323,826810466,323,2023-04-19,negative,0.9459,POSITIVE
109,327,316,323,318,663981561,318,2023-04-20,negative,0.1027,POSITIVE
110,331,316,318,322,1057530805,322,2023-04-21,positive,0.2023,POSITIVE
111,333,320,322,332,670641138,332,2023-04-22,positive,0.6996,POSITIVE
112,332,328,332,331,639990072,331,2023-04-23,negative,0.5413,POSITIVE
113,333,328,331,331,662758378,331,2023-04-24,positive,0.6996,POSITIVE
114,340,329,331,338,682400159,338,2023-04-25,positive,0.0,NEUTRAL
115,345,325,338,331,910334786,331,2023-04-26,positive,0.2481,POSITIVE
116,336,329,331,331,750494420,331,2023-04-27,negative,0.6249,POSITIVE
117,331,320,331,325,1069178743,325,2023-04-28,negative,0.9292,POSITIVE
118,325,322,324,322,536818146,322,2023-04-29,negative,,
119,338,321,322,338,865228956,338,2023-04-30,positive,0.2023,POSITIVE
120,339,327,338,329,912601797,329,2023-05-01,positive,0.1531,POSITIVE
121,329,322,329,322,686766524,322,2023-05-02,negative,0.4404,POSITIVE
122,327,321,322,326,822037855,326,2023-05-03,negative,0.731,POSITIVE
123,327,324,326,324,467074893,324,2023-05-04,neutral,0.4588,POSITIVE
124,329,324,324,327,519090054,327,2023-05-05,positive,0.8356,POSITIVE
